beer_beerid,beer_name,brewery_name,review_overall,review_aroma,review_appearance,beer_style,review_palate,review_taste,beer_abv
9908,Alt Bier,The Tap Brewing Company,5,4,4.5,Altbier,4.5,4.5,7
7625,DeGroen's Altfest,Baltimore Brewing Company,4.5,3.5,4.5,Altbier,4,4,7
44543,Festivale Plus,Beau's All Natural Brewing Company,4.5,4.5,4,Altbier,4,4,7
6458,Kraftbräu Summer Alt,Kraftbräu Brewery,3.5,4,3.5,Altbier,4,3,7
2267,Winternacht,Widmer Brothers Brewing Company,4.5,4,4.5,Altbier,4,4,7
27005,Detroit Beer Co. The Detroit Dwarf,Detroit Beer Co.,4.5,4.5,4,Altbier,4,4,6.8
65299,Hofbräu Berg Bock,Hofbräuhaus Pittsburgh,3.5,3.5,3.5,Altbier,3.5,3.5,6.8
30767,Maniac Alt,Iron Hill Brewery & Restaurant,4.5,4,4,Altbier,4,4.5,6.8
52701,Simple Malt Altbier,Brasseurs Illimités,4.5,3.5,2.5,Altbier,4,4,6.8
30636,Alt-imate,The Tap Brewing Company,4.5,4.5,4,Altbier,4,4,6.6
65222,Evan Altmighty,Blue Mountain Brewery,4.5,4,3.5,Altbier,4.5,4,6.6
63160,Columbus Speak Softly And Carry A Big Sticke Alt,Columbus Brewing Company,4,4,4,Altbier,4,4,6.5
55472,Frosty Knuckle Special Reserve (German Sticke Alt),Frosty Knuckle Brewing Company,4,3.5,4,Altbier,4,4,6.5
48486,Gordon Biersch Sticke Alt,Gordon Biersch Brewery Restaurant,4,3.5,4.5,Altbier,4,4,6.5
38021,Nimbus Alt,Nimbus Brewing Company,3.5,4,4,Altbier,4,4,6.5
41905,Sticher,Grado Plato,4,4,4,Altbier,4,4,6.5
67506,3 Ravens Über Blond Sticke Altbier,3 Ravens Brewing,3.5,3.5,4,Altbier,3.5,4,6.4
44410,ALTerior Motive,COAST Brewing Company,5,4.5,4.5,Altbier,5,4.5,6.3
57479,Känguruh Bernsteintrunk,Bauer´s Marchfelder Storchenbräu,4,3.5,4,Altbier,3.5,4,6.3
42031,Ringneck Schticke Altbier,The Brew Kettle Taproom & Smokehouse / Production Works,4.5,3.5,4,Altbier,3.5,3.5,6.3
63892,Secret Spot Winter Ale,Evolution Craft Brewing Company,4.5,4,4,Altbier,4.5,4.5,6.3
45350,Brewer's Assoc Of Maryland Festbier,Red Brick Station,5,4.5,4.5,Altbier,4.5,5,6.29
68876,Detroit Pale Ale,Atwater Block Brewery,4,5,4,Altbier,4,4,6.2
51341,Mountain Goat Alt Spice,Mountain Goat Beer Pty Ltd,4,4,4,Altbier,2.5,4,6.2
54395,Alter Ego,Minneapolis Town Hall Brewery,4.5,4,5,Altbier,4.5,4,6.1
74450,Copper Jack Copper Ale,Dry Dock Brewing Co.,4,3.5,4.5,Altbier,4,4,6.1
74225,2011 Cleveland Beer Week Hoppy German-Style Altbier,Buckeye Brewing Company,4,4.5,4,Altbier,4,4.5,6
75965,Alt-Bier With Augie's Coffee And Maple Syrup,Hangar 24 Brewery,3.5,3.5,4.5,Altbier,4,3.5,6
16298,Blitzkrieg Alt-Fest,Rocky River Brewing,4,4,4,Altbier,3.5,3.5,6
5894,Budels Alt,Budelse Brouwerij B.V.,4,3.5,4,Altbier,4,4,6
16494,Dark Alt,Judge Baldwin's Brewing Company,4,4,4,Altbier,4.5,4.5,6
70278,Dip Sticke Altbier,Bullfrog Brewery,4.5,4,3.5,Altbier,4,4.5,6
12871,Full Sail Comet Ale,Full Sail Brewery & Tasting Room & Pub,4,3.5,4,Altbier,4,4,6
21780,Kuhnhenn Sticke Alt,Kuhnhenn Brewing Company,5,4,4,Altbier,4,4,6
16146,Uerige Sticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,5,3.5,4,Altbier,4.5,4,6
22079,Wisby Påsköl,Gotlands Bryggeri,3,3.5,4,Altbier,2.5,3,6
76591,Alternate Personality,La Cumbre Brewing Co.,4,4,4,Altbier,4,4,5.9
21956,9303 German Red Ale,Ellicottville Brewing Co.,4.5,3,3.5,Altbier,4,4,5.8
41668,Alien Alt,Lunar Brewing,3,4,4,Altbier,4,4,5.8
52213,Das Boot Alt,Sun King Brewing Company,3.5,3.5,3.5,Altbier,3,3.5,5.8
1948,German Pale Ale,August Schell Brewing Company,4.5,4,3.5,Altbier,4.5,4,5.8
67215,Iron Works Alt,Metropolitan Brewing,5,4.5,4,Altbier,4,4,5.8
62539,Kings Alley Alt,McMenamins,3.5,3.5,3.5,Altbier,3.5,3.5,5.8
25418,Bornholmer Bryg Guld Øl Mørk,Svaneke Bryghuse,4,4,4.5,Altbier,4,4,5.7
31098,Cambridge House ALT-45,The Cambridge House Brewpub,4,3.5,3.5,Altbier,4,4,5.7
50269,Organic Secret Alt,Hopworks Urban Brewery,5,4,4,Altbier,4,4.5,5.7
74417,Red Bier,Migration Brewing Company,4,3,4,Altbier,4.5,3.5,5.7
71160,Rhine Heights,Vintage Brewing Company,4,4.5,4,Altbier,3,4,5.7
69818,Dusseldor  Alt,Amnesia Brewing,4,4,3.5,Altbier,4,4,5.6
72043,Knot Head Alt,Intuition Ale Works,4,4,3.5,Altbier,4,3.5,5.6
47284,Paroxysme,AMB - Maître Brasseur,4.5,4.5,4,Altbier,4.5,4.5,5.6
62436,2010 Cleveland Beer Week Collaboration Altbier (w/ Cornerstone),Buckeye Brewing Company,4,3.5,3.5,Altbier,4.5,4.5,5.5
44439,Amber Alt Ale,Bootlegger's Brewery,4.5,4,4,Altbier,4,4.5,5.5
4459,Arbor Brewing Olde Number 22 Alt Bier,Arbor Brewing Company,4.5,3,5,Altbier,5,4,5.5
4781,Centennial Alt,Beer Works,4.5,4,4,Altbier,3.5,3.5,5.5
57470,Dusseldorf,Triple J Chophouse And Brew Co,3,3,4,Altbier,3,2,5.5
7695,Kraftbräu Winter Alt,Kraftbräu Brewery,3.5,4,5,Altbier,3.5,3.5,5.5
25752,Okto,Widmer Brothers Brewing Company,5,3.5,5,Altbier,4.5,3,5.5
49619,Pumpernickel Ale,Gritty McDuff's Brewing Company,2.5,3,4,Altbier,3.5,3,5.5
49365,Red Tractor,Shooting Creek Farm Brewery,4,3.5,4,Altbier,4,3.5,5.5
75400,Schumacher Latzenbier,Brauerei Schumacher,4.5,3.5,4,Altbier,4.5,4,5.5
46187,Taybeh Amber,Taybeh Brewing Co.,4,3.5,3.5,Altbier,4,4,5.5
69320,Three Blind Mice,Mother's Brewing Company,4,4,4.5,Altbier,4,3.5,5.5
49988,"""Nein Toll Bier"" German Alt",John Harvard's Brewery & Ale House,4,4,3.5,Altbier,3.5,3,5.4
46249,Alt-Ernative Amber,Ohio Brewing Company,4.5,4.5,4,Altbier,5,5,5.4
57012,Endless Mountain Amber,Bullfrog Brewery,4.5,4,4,Altbier,4,4,5.4
18885,Heritage Alt,Erie Brewing Co.,5,4,5,Altbier,4.5,4.5,5.4
69238,Stickball Alt,Bear Republic Brewing Co.,4.5,4,4,Altbier,4,4.5,5.4
66146,Bismarck Alt,Dry Dock Brewing Co.,4.5,4,4,Altbier,4,4,5.3
69134,Gordon Biersch Cascade Alt,Gordon Biersch Brewery Restaurant,3,2.5,3,Altbier,3,3,5.3
57229,I-beam Alt,Metropolitan Brewing,5,4.5,4,Altbier,4.5,4.5,5.3
61209,Sierra Nevada Stein Altbier,Sierra Nevada Brewing Co.,4,4,4,Altbier,4.5,4.5,5.3
17725,Zeunerts Höga Kusten,Kopparbergs Bryggeri AB (Sofiero - Banco - Zeunerts),3.5,2,3.5,Altbier,3.5,3.5,5.3
4656,Olde Brick Alt,Kutztown Tavern,4.5,4,4,Altbier,4,4,5.29
17066,Harpoon Alt Ale (100 Barrel Series #05),Harpoon Brewery,4.5,3.5,4,Altbier,4,3.5,5.25
10229,3 Ravens Blond,3 Ravens Brewing,4.5,4,3,Altbier,4,4.5,5.2
20958,Aleworks Altbier,Third Street Aleworks,2.5,2,3.5,Altbier,3.5,3,5.2
30901,Alt Ball And Chain,Four Peaks Brewing Company,3.5,4,4,Altbier,3,4,5.2
32162,Ankle Biter,III Dachshunds/City Lounge,4.5,3.5,3.5,Altbier,4,4,5.2
38734,Ctrl-Alt-Del,Davidson Brothers Restaurant & Brewery,4.5,4,3,Altbier,3.5,4.5,5.2
40832,CTRL-ALT-DELETE,Great Waters Brewing,2.5,3.5,3.5,Altbier,3.5,3,5.2
69675,Düsseldorf Altbier,Copper Kettle Brewing Company,4,2.5,4,Altbier,4,4,5.2
47048,Füchschen Weihnachtsbier,Brauerei Im Füchschen,4.5,4.5,4.5,Altbier,5,5,5.2
22655,Foothills German Alt,Foothills Brewing Company,4.5,4,4,Altbier,4,4.5,5.2
54331,GestAlt,The Tap Brewing Company,5,4,4,Altbier,4.5,4.5,5.2
39007,Herr Kevin's Alt Bier,Broad Ripple Brew Pub,4,3.5,4,Altbier,3.5,4,5.2
19035,La Grole,Brouwerij Van Steenberge N.V.,3,4,3,Altbier,3.5,3.5,5.2
47578,Segelschiff - Mumme Bier,H.Nettelbeck KG,4.5,4,5,Altbier,5,4.5,5.2
66737,Alt-itude,Mother Earth Brew Co.,4.5,4,4,Altbier,4,4.5,5.1
58093,Barrel Aged Schmaltz's Alt,August Schell Brewing Company,5,4,4.5,Altbier,4,4.5,5.1
49979,Crooked Coast Amber Ale,Driftwood Brewery,5,4,4.5,Altbier,4,4.5,5.1
39539,Düsseldorf Alt Bier,Sailfish Bar & Grill / Twin Rivers Brewing Co.,4,3.5,4.5,Altbier,4,4,5.1
17697,Dusseldorf Altbier,Minneapolis Town Hall Brewery,4.5,4,4.5,Altbier,4,4,5.1
80,Organic Münster Alt,Brauerei Pinkus Mueller,5,4,4,Altbier,5,5,5.1
45553,Phil's Existential Alt,Full Sail Brewery & Tasting Room & Pub,3,3.5,3,Altbier,3.5,3.5,5.1
1803,Schmaltz's Alt,August Schell Brewing Company,5,4.5,4.5,Altbier,4.5,4.5,5.1
47170,Schwindel Alt,Vertigo Brewing,5,4.5,4.5,Altbier,4.5,5,5.1
44984,Arthur Ale Altbier,Buckeye Brewing Company,3.5,3.5,4,Altbier,3.5,3.5,5
74867,Baeren Alt,Baeren Brauerei,4,4,4,Altbier,4,3.5,5
33338,Buzzards Bay Altbier,Buzzards Bay Brewing,4.5,4,4,Altbier,4.5,4,5
28441,Capital Alt Ale,The Tap Brewing Co. & Eatery Inc.,2,2,2.5,Altbier,2.5,2,5
16866,Clark (Alt),Sapporo Kaitakushi Brewery Harriet,4.5,3.5,4,Altbier,3,4,5
13423,Copper Canyon Alt,Copper Canyon Brewery,4.5,3.5,3.5,Altbier,4,4,5
8940,German Premium Dark Ale,Brauerei Diebels GmbH & Co KG,4.5,4,4,Altbier,4,4,5
61514,Gordon Biersch Alt Together Now,Gordon Biersch Brewery Restaurant,3.5,4.5,4,Altbier,4,4,5
14750,Grand'Messe,Brasserie Dieu Du Ciel,4.5,4.5,4.5,Altbier,4.5,4.5,5
76635,Gunther's Altbier,Brewsters Brewing Company & Restaurant - Oliver Square,3.5,3.5,3.5,Altbier,3.5,3.5,5
5374,Indian River Amberjack Alt,Florida Beer Company,4,2.5,3,Altbier,4,4,5
50802,Karl Strauss Altbier,Karl Strauss Brewing Company,4.5,4,4.5,Altbier,3.5,4.5,5
17904,Karuizawa Kogen Alt,Yo-Ho Brewing Company,3.5,3.5,3.5,Altbier,3.5,3.5,5
21489,Kitaro Alt,Yumeminatobeer Co. Ltd.,2,2,4,Altbier,2,2,5
18976,Kuhnhenn Alt,Kuhnhenn Brewing Company,4.5,4.5,5,Altbier,5,4.5,5
31402,Kutscher Alt,Binding-Brauerei AG,5,5,5,Altbier,4,5,5
38937,L'Altesse,AMB - Maître Brasseur,4,4,3.5,Altbier,3.5,3.5,5
12722,Mattari Alt,Matsuya Kyoto Machiya Beer Brewery,4.5,3.5,4.5,Altbier,4.5,4,5
58137,Mike Duggan #24 Altbier,Duggan's Brewery,4,3.5,3.5,Altbier,3.5,3.5,5
49451,Mission Amber,Mission Brewery,4,4,4,Altbier,4,4,5
31769,Old Number  22 German Alt,Corner Brewery & Beer Garden,4.5,4,3.5,Altbier,4,4.5,5
33842,Oma's Altbier,Gardner Ale House,4,3.5,4.5,Altbier,4,4,5
42987,Ostalgia Rousse,Hopfenstark,4.5,5,5,Altbier,4.5,4.5,5
65671,Rescousse,Brasserie Dieu Du Ciel,5,4,4.5,Altbier,4,4.5,5
7084,Rio Salado Autumn Deluge Alt Bier Amber Ale,Rio Salado Brewing Company,4.5,3.5,4,Altbier,4,4,5
16589,Sanuki Beer - Alt,Kagawa Brewery,3,3.5,3,Altbier,2.5,3,5
26656,Snowstorm 2005,August Schell Brewing Company,5,3.5,5,Altbier,4.5,4.5,5
43341,Southampton Altbier,Southampton Publick House,5,4,4.5,Altbier,4,4.5,5
70081,Stammitisch Altbier,Flossmoor Station Restaurant & Brewery,4,4,4,Altbier,4.5,4,5
5078,True North Copper Altbier,Magnotta Brewery,5,4,4,Altbier,4,4,5
6181,Vollmert's Alt,Bethlehem Brew Works,4.5,4,4,Altbier,3.5,4.5,5
72776,Vormann Alt Aus Dahl,Brauerei Vormann,2.5,2.5,3,Altbier,2.5,3,5
49027,Wieden Bräu Altbier,Wieden Bräu,4.5,4,4.5,Altbier,4,4.5,5
1755,Willimantic Autobahn Mail Alt,Willimantic Brewing Co.,4,3.5,3.5,Altbier,3.5,4,5
32486,Alt-erior Motive,Cambridge Brewing Company,4,4,4.5,Altbier,5,4,4.9
9867,Auerhahn-Bräu Bütten Alt,Hochstiftliches Brauhaus,4.5,3.5,4.5,Altbier,3.5,4,4.9
19292,Bug Jar Brown Hornet Ale,CB's Brewing Company,4.5,3.5,3.5,Altbier,3.5,4.5,4.9
38771,Diebels Premium Altbier,Brauerei Diebels GmbH & Co KG,4.5,4,3.5,Altbier,4,4,4.9
38976,Farm Brew Altbier,Weeping Radish Eco Farm & Brewery,3.5,4,3.5,Altbier,3.5,4,4.9
49521,Frosty Knuckle Ale,Frosty Knuckle Brewing Company,4.5,4,4,Altbier,4,4,4.9
22284,Gleumes Lager,Brauerei August Gleumes GmbH,4.5,4.5,5,Altbier,5,4.5,4.9
53410,Iconoclast Aurora,Mayfield Brewing Company,4,3.5,4,Altbier,3.5,3.5,4.9
70952,Maisel's Dampfbier,Brauerei Gebrüder Maisel GmbH & Co.,3,3,3.5,Altbier,3.5,3.5,4.9
59849,Olde Towne Alt,Growlers,4,4,3.5,Altbier,4,3,4.9
4292,Original Oettinger Alt,Oettinger International Getränke-Vertriebs GmbH,4,3.5,4,Altbier,4,4,4.9
62266,Sigtuna Verstehe Nicht Alt,Sigtuna Brygghus,3,3,4,Altbier,3.5,3,4.9
76526,Anti-Matter Altbier,Blue Hills Brewery,4.5,4,4,Altbier,4,4,4.8
54485,Bamberg Alt,Micro Cervejaria Bamberg,2,2,3,Altbier,2,2,4.8
13453,Beachballs Red Ale,Barley Brothers Brewery & Grill,3,2.5,3.5,Altbier,2.5,3,4.8
33798,Blue Dog Amber,Lucky Labrador Beer Hall,4,4,4,Altbier,4,4,4.8
70377,Brauerei Königshof  Alt,Brauerei Königshof,4,3.5,3,Altbier,3.5,4,4.8
6061,Diebels Alt,Brauerei Diebels GmbH & Co KG,5,5,5,Altbier,4.5,4.5,4.8
4576,Eichoff Klosterbrau Edeltrüb St. Fidelis,Brauerei Eichhof,4,2,3,Altbier,3,3,4.8
18876,Hannen Alt,Hannen Brauerei GmbH,5,5,5,Altbier,5,5,4.8
49474,OMB Copper,The Olde Mecklenburg Brewery,5,4.5,5,Altbier,5,5,4.8
13072,Rhenania Alt,Krombacher Brauerei,4.5,3.5,4,Altbier,4,3.5,4.8
6706,Schlösser Alt,Brauerei Schlösser GmbH,4.5,4,4,Altbier,4,4.5,4.8
22919,Headwall Alt,Tuckerman Brewing Co.,5,4,3.5,Altbier,4.5,4,4.75
37905,Da Spalter Alt,Zero Gravity Craft Brewery / American Flatbread,4.5,3.5,4,Altbier,4,4.5,4.7
8423,Emily Alt Beer,Granville Island Brewery,3,2,3,Altbier,2.5,2.5,4.7
4043,Fordham Copperhead Ale,Fordham Brewing Company,5,3.5,4,Altbier,4,4,4.7
32315,Humle-Hildas Altbier,Sigtuna Brygghus,3.5,3.5,4,Altbier,3.5,3.5,4.7
23286,Summit Amber,Summit Brewing Company,4.5,3.5,4,Altbier,4,4,4.7
6355,Uerige Altbier (Classic),Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,5,4,4.5,Altbier,5,4.5,4.7
34210,Uerige Altbier (Unfiltered),Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,5,4.5,4.5,Altbier,5,5,4.7
5238,Brewer's Alley Wedding Alt,Brewer's Alley Restaurant & Brewery,5,4.5,4.5,Altbier,4.5,5,4.6
22841,Great Lakes Altbier,Great Lakes Brewing Company,4.5,3.5,3.5,Altbier,4,4,4.6
50837,Leavenworth Eightmile Alt,Fish Brewing Company / Fishbowl Brewpub,5,4,3,Altbier,4,4.5,4.6
3128,Long Trail Ale,Long Trail Brewing Co.,5,3,3,Altbier,4,4,4.6
8335,Old Town Brown,Chicago Brewing Company,4.5,4,4,Altbier,4,4.5,4.6
39747,Over Draft Ale,Elmar's In The Valley,4,4,4,Altbier,4,4,4.6
6420,Schumacher Alt,Brauerei Schumacher,5,4.5,4.5,Altbier,4.5,4.5,4.6
71556,Traffic Light,Great Lakes Brewing Company,4,3.5,3.5,Altbier,4,4,4.6
45969,Vienna Ale,Saugatuck Brewing Company,4,4,4,Altbier,4,4,4.6
8949,Altimeter,Outer Banks Brewing Station,4.5,4,4.5,Altbier,4,4,4.5
6694,Dragonmead Dragonslayer Altbier,Dragonmead Microbrewery,5,4,3.5,Altbier,4,4,4.5
12716,Im Füchschen Alt,Brauerei Im Füchschen,5,4.5,5,Altbier,4.5,4.5,4.5
27026,Manchester Alt,John Harvard's Brewery & Ale House,4,4,4.5,Altbier,3.5,4,4.5
13683,Sticke Altbier,Goose Island Beer Co.,4.5,4,4,Altbier,4,4,4.5
4100,Venloosch Altbier,Bierbrouwerij De Leeuw B.V.,4.5,4,4,Altbier,3.5,4,4.5
18026,Bug Ocean Altbier,Margaret River Ale Company,3,3.5,3,Altbier,3,3,4.4
23328,Red Alt Ale,"Clockwork Beer Co, The",4,3,3.5,Altbier,3.5,4,4.4
21417,Ringneck Amber Ale,The Brew Kettle Taproom & Smokehouse / Production Works,4,3.5,3.5,Altbier,3,3,4.2
64657,Shiner Old-Time Alt,Spoetzl Brewery,4.5,3,4,Altbier,3,4.5,4.2
45132,Altbier,Bluegrass Brewing Co.,5,4,3.5,Altbier,4.5,4.5,4.19
44596,Amber Ale - German Style Altbier,Bluegrass Brewing Co. - East St. Matthew's,4,3.5,4,Altbier,3.5,3.5,4.19
29292,All The Way Alt,Desert Edge Brewery,3.5,3.5,3.5,Altbier,3.5,3.5,4
52360,Alt And In The Way,Squatters Pub Brewery,3,3,3,Altbier,3,3,4
69964,Altus,Bohemian Brewery,3,3.5,4,Altbier,3.5,3,4
19063,Düssel Altbier,Drayman's Brewery,4,4,4,Altbier,4,4,4
29178,Diamondback Ale,Roosters Brewing Company and Restaurant,4.5,4,4,Altbier,3.5,4.5,4
36081,Herrschaft Altbier,Old Dominion Brewing Company,4,4,4.5,Altbier,4,4,4
70975,Lucky Penny Alt,The Local Pub & Brewery,3,3.5,4,Altbier,4,2.5,4
43671,Over The Hill,Roosters Brewing Company and Restaurant,3.5,4,4,Altbier,3.5,3.5,4
18675,Rengakan Beer,Sapporo Kaitakushi Brewery Harriet,4,3.5,4,Altbier,3.5,3.5,4
36505,Grumpy's Auld Fokker Altbier,Grumpy's Brewhaus,4,3,3.5,Altbier,3.5,3.5,3.9
49706,Abzug,New Albanian Brewing Company - Pizzeria and Public House,5,4,4,Altbier,3,4.5,3.8
49980,A Little Behind Altbier,Big Boss Brewing,4.5,3.5,4,Altbier,4,4,
25254,Abita Select Alt,Abita Brewing Co.,4.5,4,4,Altbier,4.5,4,
20390,Akashi Roman Beer,Akashi Brewery K.K.,2,2.5,3.5,Altbier,2,2,
44875,Akron Dopple Alt,Ohio Brewing Company,5,4.5,5,Altbier,4.5,5,
6506,Akron/Macon Ale,Blimp City Brewing,4.5,4,3,Altbier,3.5,4,
6961,Alexandria Alt,Flying Goose Brew Pub & Grille,3.5,3.5,3.5,Altbier,3,3,
24913,Aloha Ambier,Deschutes Brewery & Public House,5,4.5,4.5,Altbier,4.5,5,
18319,Alt Überschuh,The Tap Brewing Company,4,3.5,4,Altbier,3.5,3.5,
49484,Alt Ctrl Delete,"Manchester Brewing, LLC",4.5,3.5,3.5,Altbier,4,3.5,
5332,Alt Have Another,Tampa Bay Brewing Co.,4,4,4,Altbier,4,4,
69745,Alt Ostheimer Alkoholfrei Schankbier,Eder & Heylands Brauerei,3.5,3.5,3.5,Altbier,4,4,
31674,AltBier (JLS Release #15),Rogue Ales,5,5,3,Altbier,4.5,5,
18894,Altenstein,Blind Tiger Brewery & Restaurant,4.5,3.5,4,Altbier,3,3,
49616,Alter Ego Altbier,Carolina Brewery,4,3,2.5,Altbier,4,3.5,
61812,ALTercation,Manayunk Brewery and Restaurant,3.5,4,4,Altbier,3.5,3.5,
3973,Alternator Double Alt,Quincy Ships Brewing Company,4.5,4,4,Altbier,4.5,4.5,
18641,Altstadt Bier,John Harvard's Brewery & Ale House,4,3.5,3.5,Altbier,4,4,
72347,Anniversary Altbier,Rockyard Brewing,3.5,3,3.5,Altbier,3.5,3,
69775,Über Frog,Issaquah Brewhouse,3.5,3.5,3.5,Altbier,3.5,3.5,
39841,Art's Altbier,Huntington Beach Beer Company,3,3,4,Altbier,3,3.5,
9856,"Auerhahn-Bräu Urhahn, Helles Alt",Hochstiftliches Brauhaus,5,4,3.5,Altbier,4.5,5,
46565,Bavarian Sun,John Harvard's Brewery & Ale House,3.5,4,3.5,Altbier,3,4,
53265,Bitter Creek Road Kill Alt,Bitter Creek Brewing Company,4,3.5,4,Altbier,4,3.5,
30638,Bixlers Alt,Legacy Brewing Co.,4.5,3,4,Altbier,4,4.5,
21387,Black Forest Altbier,Tuck's Brewery,5,4.5,4.5,Altbier,4,5,
7569,BluCreek Altbier,Pioneer Brewing Company,4.5,3,3,Altbier,4,2.5,
16037,Boscos Little Rock Alt,Boscos Restaurant & Brewing Co. - Little Rock,4,4,4,Altbier,4,4,
59513,Brewmaster's Special Alt,SandLot Brewery @ Coors Field,3.5,3.5,4,Altbier,4,3.5,
455,Brewnet Bombshell,Commonwealth Fish & Beer Company,4,3.5,3.5,Altbier,3.5,4,
32815,Brown Aled Girl,Legacy Brewing Co.,4.5,3.5,4,Altbier,4,4,
55202,Chazmo Altbier,The Liberal Cup Public House & Brewery,4,4,4,Altbier,4.5,4,
12275,Coopers Cave Altbier,Cooper's Cave Ale Company,3,3,3,Altbier,3,3,
4191,Düsseldorf Alt,Five Seasons Prado,4,3.5,4,Altbier,3.5,3.5,
22950,Das Is Good,North Country Brewing,5,3.5,4,Altbier,4,4.5,
33890,Dopple Alt,Raccoon River Brewing Company,3.5,3,3.5,Altbier,3.5,3.5,
30061,Dusseldorf Alt,Brewsters Brewing Company & Restaurant - Oliver Square,4.5,4,4,Altbier,4.5,4,
19619,Elm City Altbier,Elm City Brewing Co.,4,3.5,3.5,Altbier,4,4,
5310,Empire Alt,Empire Brewing Company,3.5,3,3.5,Altbier,3,3.5,
3543,Esker Alt,Slab City Brewing Company,5,4.5,4,Altbier,5,4.5,
66438,Evie's Alt Bier,Court Avenue Brewing Company,4,3.5,3.5,Altbier,4,4,
45988,Eyebrow Alt,C.B. & Potts,4,3.5,3.5,Altbier,3,3.5,
12453,Fitzgerald's Alt,Founders Restaurant & Brewing Co.,5,4.5,4.5,Altbier,5,5,
71299,Franconia Alt,Franconia Brewing Company,4,4,4,Altbier,4,4,
7818,German Alt,Grand Rapids Brewing Co,4,3.5,3.5,Altbier,3,3.5,
36231,Gordon Biersch Alt,Gordon Biersch Brewery Restaurant,4,3.5,4,Altbier,4,4,
21247,Grand Opening Alt,Sly Fox Brewing Company,4.5,4,4,Altbier,4,4,
35041,Grizzly Peak Alt,Grizzly Peak Brewing Company,3.5,3.5,4,Altbier,3,3.5,
7553,Gustav Werner Alt Amber Ale,Old European Brewing Company,2,2,2.5,Altbier,2.5,2,
43255,Helles Alt,The Vermont Pub & Brewery,4.5,3.5,4,Altbier,4,3.5,
19240,Jamesport Altbier,Jamesport Brewing Company Inc.,4,3.5,3.5,Altbier,3.5,4,
2747,Jay Peak Tram Ale,Long Trail Brewing Co.,4.5,3.5,3,Altbier,3.5,4,
12117,Jubelfest,Privatbrauerei Franz Joseph Sailer,5,4.5,4,Altbier,4,4.5,
843,McNeill's Alle Tage Altbier,McNeill's Brewery,5,4,4,Altbier,5,4.5,
44611,Not My Fault Alt,Vintage 50 Restaurant And Brew Lounge,3.5,3,3.5,Altbier,4,3.5,
